eGRID2016 Plant file sequence number,Plant state abbreviation,Plant name,Plant latitude,Plant longitude,Plant primary fuel,Plant capacity factor,Plant nameplate capacity (MW),Plant annual net generation (MWh),Plant annual CO2 equivalent emissions (tons)
SEQPLT16,PSTATABB,PNAME,LAT,LON,PLPRMFL,CAPFAC,NAMEPCAP,PLNGENAN,PLCO2EQA
5080,MN,"WakeSun, LLC CSG",45.472889,-94.406417,SUN,,3,,
5081,MN,Wallys Wind Farm LLC,44.2851,-96.43325,WND,0.1222,1.3,1392,0
5082,MN,Wapsipinicon Wind Project,43.8006,-92.6822,WND,0.3444,100.5,303198,0
5083,MN,Waseca Solar,44.092414,-93.530984,SUN,0,10,0,
5084,MN,Waseca Solar,44.051448,-93.386458,SUN,,5,,
5085,MN,Water Reclamation Plant,44.064722,-92.469167,OBG,0.2107,2,3692,3
5086,MN,WCROC Wind Farm,45.589722,-95.876944,WND,0.3047,1.7,4537,0
5087,MN,Webster Holdco Solar,44.529703,-93.410622,SUN,,5,,
5088,MN,Welcome Wind Turbine,43.6825,-94.5892,WND,0.3869,2.1,7118,0
5089,MN,Wells IC,43.74453,-93.724129,DFO,0.0011,8.3,81,68
5090,MN,West Fairbault,44.269722,-93.290556,NG,,48.6,,
5091,MN,West Faribault Solar,44.274932,-93.310634,SUN,0,5.5,0,
5092,MN,West Group Data Center,44.8256,-93.1139,DFO,0.0018,13,202,146
5093,MN,West Group Data Center F,44.8283,-93.1167,DFO,0.0023,8,163,128
5094,MN,West Waconia Solar,44.789894,-93.901292,SUN,0,8.5,0,
5095,MN,Westbrook,44.0399,-95.4429,DFO,0.0005,3.5,14,12
5096,MN,Westridge Windfarm LLC,43.988611,-96.215556,WND,0.0055,2,96,0
5097,MN,Westside Energy Station,44.039023,-92.551866,NG,,46.5,,
5098,MN,Willmar,45.121705,-95.053236,SUB,0.1238,34,36864,"19,295"
5099,MN,Willmar Municipal East Substation,45.1272,-95.025,DFO,0.0008,6,40,35
5100,MN,Willmar Municipal SW Substation,45.105,-95.0844,DFO,0.0008,6,43,38
5101,MN,Wilmarth,44.1967,-94.0009,MSW,0.469,25,102709,"111,855"
5102,MN,Wilmont Hills LLC,43.754739,-95.853447,WND,0.3429,1.5,4506,0
5103,MN,Windcurrent Farms LLC,44.0236,-96.0789,WND,0.3033,2,5313,0
5104,MN,Windom,43.86811,-95.114444,DFO,0.0003,8.4,19,20
5105,MN,Windom Wind Project,43.9578,-95.1306,WND,0.308,15.6,42091,0
5106,MN,Windy Dog I LLC,44.2851,-96.4257,WND,0.1209,1.3,1377,0
5107,MN,Winona County Wind LLC,44.1125,-91.924722,WND,0.0072,1.5,95,0
5108,MN,Winters Spawn LLC,44.2081,-96.1989,WND,0.4071,1.9,6775,0
5109,MN,Winton,47.9344,-91.7639,WAT,0.7427,4,26025,0
5110,MN,Wolf Wind Enterprises LLC,43.581111,-95.775833,WND,0.1282,1.3,1460,0
5111,MN,Woodstock Windfarm,43.985833,-96.078611,WND,0.1919,10.2,17147,0
5112,MN,Worthington,43.63349,-95.609234,WND,0.0801,19.6,13756,65
5113,MO,Albany,40.245,-94.339,DFO,0,6.2,0,
5114,MO,Ameresco Jefferson City,38.552371,-92.04493,LFG,0.9015,3,23691,0
5115,MO,Anheuser-Busch St Louis,38.597755,-90.210671,NG,0.2066,26.1,47243,"13,963"
5116,MO,Asbury,37.361315,-94.58926,SUB,0.5377,231.5,1090318,"1,435,622"
5117,MO,Audrain Power Plant,39.3092,-91.5369,NG,0.0028,814.4,20022,"13,862"
5118,MO,"Black Oak Power Producers, LLC",37.231944,-92.453889,LFG,0.3209,4,11244,0
5119,MO,Blue Valley,39.0919,-94.3261,NG,0.0137,176,21090,"8,303"
5120,MO,Bluegrass Ridge,40.1006,-94.4869,WND,0.2437,56.7,121050,0
5121,MO,Butler Municipal Power Plant,38.264408,-94.344385,DFO,0.0005,13.1,55,91
5122,MO,Butler Solar Power Project,38.27,-94.35,SUN,0.1916,2.8,4699,0
5123,MO,Callaway,38.758919,-91.778841,NUC,0.8711,"1,235.80",9430179,0
5124,MO,Carrollton,39.3515,-93.5016,NG,0.0002,24,43,82
5125,MO,Carthage,37.176646,-94.299431,NG,0,41.8,-115,358
5126,MO,Chillicothe,39.783388,-93.564112,NG,0.0007,103.5,603,635
5127,MO,Chillicothe Solar Farm,39.788769,-93.536833,SUN,,2.5,,
5128,MO,City of West Plains Power Station,36.748611,-91.868611,NG,0.0021,47.4,858,783
5129,MO,Clarence Cannon,39.524791,-91.643969,WAT,0.1673,58,85000,0
5130,MO,Coleman,36.8785,-89.6214,DFO,,4.3,,
5131,MO,Columbia,38.964646,-92.316768,NG,0.0349,101.6,31053,322
5132,MO,Columbia Energy Center (MO),39.0192,-92.2629,NG,0.0019,162.8,2729,"2,386"
5133,MO,Conception,40.2572,-94.6722,WND,0.2622,50.4,115741,0
5134,MO,Cow Branch,40.4535,-95.4683,WND,0.2602,50.4,114889,0
5135,MO,Dogwood Energy Facility,38.7931,-94.3006,NG,0.3009,630,1660825,"740,830"
5136,MO,Elm Street Substation Generators,37.7814,-90.4156,DFO,0.0003,8,18,19
5137,MO,Empire District Elec Co Energy Ctr,37.1385,-94.1041,NG,0.0282,379,93596,"70,402"
5138,MO,Essex Power Plant,36.868206,-89.840173,NG,0.0354,229.2,71001,"48,598"
5139,MO,Fairgrounds,38.5935,-92.2206,DFO,0,68.3,-210,536
5140,MO,Farmers City Wind LLC,40.575,-95.5228,WND,0.2468,146,315679,0
5141,MO,Fayette,39.1406,-92.68,DFO,,10.9,,
5142,MO,Fredericktown Energy Center,37.571672,-90.317251,NG,0.0083,27.6,2001,"1,657"
5143,MO,Fulton (MO),38.868095,-91.94778,NG,0.0008,38.2,280,328
5144,MO,Gallatin #2,39.928333,-93.937777,DFO,,3.6,,
5145,MO,Gallatin (MO),39.917222,-93.953889,DFO,0,7.2,0,
5146,MO,Grand Ave Plant,39.111944,-94.581111,NG,0.8633,5,37813,"12,440"
5147,MO,Grand Avenue,39.105278,-94.569722,NG,,83.2,,
5148,MO,Greenwood Energy Center,38.8615,-94.2982,NG,0.0075,247,16199,"25,011"
5149,MO,Harry Truman,38.2623,-93.4062,WAT,0.2022,161.4,285915,0
5150,MO,Hawthorn,39.1306,-94.4778,SUB,0.2884,"1,070.30",2704295,"2,659,282"
5151,MO,Higginsville Municipal Power Plant,39.073315,-93.714748,NG,0.0051,51.6,2286,"2,186"
5152,MO,Higginsville Solar Farm,39.002139,-93.726825,SUN,,2.5,,
5153,MO,Holden Power Plant,38.7538,-93.9983,NG,0.0108,321.3,30270,"22,269"
5154,MO,Howard Bend,38.681797,-90.540048,DFO,0,47.4,0,
5155,MO,Iatan,39.4472,-94.98,SUB,0.6795,"1,640.00",9762360,"10,466,850"
5156,MO,IKEA St. Louis 410,38.634995,-90.245549,SUN,0.1914,1,1677,0
5157,MO,Independence Solar Farm,39.117142,-94.288161,SUN,,3,,
5158,MO,Jackson (MO),37.3847,-89.6606,DFO,0.0004,28.3,103,153
5159,MO,Jackson Square,39.094574,-94.411522,DFO,0.0008,36,261,517
5160,MO,James River,37.108611,-93.261944,NG,0.047,450.5,185353,"141,388"
5161,MO,Jefferson Street Substation,37.7694,-90.4258,DFO,0,6,0,
5162,MO,John Twitty Energy Center,37.151706,-93.38804,SUB,0.3969,603,2096629,"2,363,235"
5163,MO,Kahoka,40.4225,-91.7206,NG,0.0001,7.4,8,13
5164,MO,Kansas City International,39.297252,-94.693153,NG,,36,,
5165,MO,KCP&L SmartGrid Innovation Park,39.040263,-94.571215,MWH,0,1,0,
5166,MO,Kennett,36.2338,-90.0521,NG,0.0072,44.5,2808,"2,495"
5167,MO,Kirksville,40.224525,-92.584928,NG,0.0006,15,80,84
5168,MO,La Plata,40.0244,-92.4896,DFO,0,8.5,0,
5169,MO,Labadie,38.562244,-90.837686,SUB,0.7067,"2,389.40",14792690,"15,398,684"
5170,MO,Lake Road,39.7246,-94.8773,NG,0.034,273.3,81401,"14,803"
5171,MO,Lebanon Solar Farm (MO),37.667831,-92.670628,SUN,,2.5,,
5172,MO,Loess Hills,40.4144,-95.54,WND,0.217,5,9505,0
5173,MO,Lost Creek Wind Energy Facility,39.981389,-94.518056,WND,0.3182,150,418070,0
5174,MO,Macon,39.7378,-92.4689,DFO,0,11.2,0,
5175,MO,Macon Energy Center,39.748975,-92.384476,NG,0.8687,10,76097,"24,385"
5176,MO,Macon Solar Power  Project,39.76,-92.46,SUN,0.1803,2.8,4422,0
5177,MO,Main Street (MO),37.2094,-93.2967,DFO,,15.3,,
5178,MO,Malden,36.5531,-89.9682,DFO,0.0001,17.3,14,12
5179,MO,Marceline,39.716944,-92.945833,DFO,0.0002,9.6,17,12
5180,MO,Marshall (MO),39.1228,-93.2064,NG,0.0005,57.3,252,255
5181,MO,Marshall Solar Farm (MO),39.0948,-93.2104,SUN,0.0062,2.8,151,0
5182,MO,McCartney Generating Station,37.248431,-93.170839,NG,0.0605,117.8,62418,"42,888"
5183,MO,Memphis,40.4578,-92.181,DFO,0,8.8,3,3
5184,MO,Meramec,38.4017,-90.3358,SUB,0.1824,"1,041.00",1663304,"1,939,106"
5185,MO,Mexico,39.1481,-91.8306,DFO,0,60.7,-10,566
5186,MO,Missouri Center for Waste to Energy,38.724722,-93.278889,LFG,0.6764,2.4,14221,0
5187,MO,Missouri City,39.231534,-94.307979,,0,46,0,0
5188,MO,Missouri S&T - Power Plant,37.953889,-91.774444,DFO,0,1.5,0,
5189,MO,MJMEUC Generating Station #1,39.251076,-91.640071,NG,0.9625,13.3,112143,"33,144"
5190,MO,Moberly,39.4244,-92.4837,DFO,0,60.6,-195,421
5191,MO,Monroe (MO),39.6525,-91.7325,NG,0,18.8,0,
5192,MO,Montrose,38.3114,-93.9348,SUB,0.1473,564,727915,"869,079"
5193,MO,Moreau,38.555713,-92.102316,DFO,0,60.8,-140,714
5194,MO,MU Combined Heat and Power Plant,38.9461,-92.3328,WDS,0.2469,91.1,197027,"62,788"
5195,MO,Nevada,37.8503,-94.3444,DFO,0,22,-101,139
5196,MO,New Madrid Power Plant,36.5147,-89.5617,RC,0.5937,"1,300.00",6760837,"6,369,569"
5197,MO,Niangua,37.9385,-92.847701,WAT,0.0295,3,776,0
5198,MO,"Nixa Solar, LLC",37.043903,-93.338969,SUN,,7.9,,
5199,MO,Noble Hill Landfill,37.3811,-93.3514,LFG,0.4842,3.2,13574,0
5200,MO,Nodaway Power Plant,40.2877,-94.7913,NG,0.0006,315.6,1741,"1,337"
5201,MO,Northeast Generating Station,39.1228,-94.5606,DFO,0.0003,486,1317,"7,277"
5202,MO,Osage Dam,38.2044,-92.6239,WAT,0.3343,208,609185,0
5203,MO,Osborn Wind Energy,39.747699,-94.473482,WND,0.0153,200.9,26949,0
5204,MO,Overall Road Station,37.7608,-90.4526,DFO,0.0004,8,30,38
5205,MO,Ozark Beach,36.658995,-93.1235,WAT,0.3945,16,55294,0
5206,MO,Palmyra Municipal,39.8,-91.52518,DFO,0,6.8,0,
5207,MO,Palmyra Municipal 2,39.800981,-91.524502,NG,0,7,0,
5208,MO,Peno Creek Energy Center,39.3531,-91.2295,NG,0.0373,240,78501,"51,286"
5209,MO,Poplar Bluff Generating Station,36.7597,-90.3903,NG,0.0023,34.1,685,420
5210,MO,Ralph Green Station,38.78758,-94.277689,NG,0.0107,74,6930,"10,707"
5211,MO,Rock Creek Wind Project,40.4,-95.2,WND,,300,,
5212,MO,Rolla Solar Farm (MO),37.9853,-91.7169,SUN,0.1321,2.8,3239,0
5213,MO,Rush Island,38.131248,-90.263157,RC,0.5888,"1,242.00",6406193,"6,733,942"
5214,MO,Salisbury City of,39.4236,-92.8028,DFO,0,6.4,0,
5215,MO,Shelbina Power #1,39.694755,-92.047014,DFO,0.0005,4.6,18,19
5216,MO,Shelbina Power #2,39.694784,-92.04674,DFO,0.0005,6.6,28,26
5217,MO,Shelbina Power #3,39.69755,-92.053456,DFO,0.0005,3.6,15,15
5218,MO,Sibley,39.178319,-94.184445,SUB,0.2923,524,1341892,"1,460,627"
5219,MO,Sikeston,36.8791,-89.6209,SUB,0.6714,261,1534981,"1,727,179"
5220,MO,Sioux,38.915479,-90.290247,RC,0.4724,"1,099.40",4549155,"5,000,206"
5221,MO,South Harper Peaking Facility,38.6803,-94.4824,NG,0.0015,351,4655,"5,684"
5222,MO,Southwestern Bell Telephone,38.627566,-90.193377,DFO,0.0001,17.2,20,24
5223,MO,Springfield Solar 1 LLC,37.246389,-93.166389,SUN,0.2073,4.9,8900,0
5224,MO,St Joseph Landfill Generating Station,39.674444,-94.776111,LFG,0.8129,1.6,11394,0
5225,MO,St. Francis Power Plant,36.5852,-90.1779,NG,0.1745,506.6,774209,"338,374"
5226,MO,Stanberry,40.212746,-94.542359,NG,0,4.9,0,
5227,MO,State Line (MO),37.0659,-94.614,NG,0.3817,690.5,2308602,"1,002,641"
5228,MO,Station H,39.1067,-94.3804,NG,0.0156,43,5870,"8,185"
5229,MO,Station I,39.055954,-94.392957,DFO,0.0018,38,593,"1,009"
5230,MO,Stockton Hydro,37.6936,-93.7691,WAT,0.204,52,92927,0
5231,MO,Sub 2 Generating Station,39.7503,-92.5,DFO,0,3.6,0,
5232,MO,Sub 3 Generating Station,39.761389,-92.453333,DFO,0,7.2,0,
5233,MO,Table Rock,36.597,-93.3086,WAT,0.2691,200,471456,0
5234,MO,Taum Sauk,37.520833,-90.834722,WAT,0,408,-152879,0
5235,MO,Thomas Hill Energy Center,39.5522,-92.6381,RC,0.6878,"1,181.70",7120233,"7,632,598"
5236,MO,Trenton Diesel,40.0661,-93.6042,DFO,,5.2,,
5237,MO,Trenton North,40.0786,-93.635,DFO,0.0007,13.5,78,37
5238,MO,Trenton Solar Farm (MO),40.1155,-93.6122,SUN,0.1928,2.8,4729,0
5239,MO,Trenton South,40.067218,-93.604363,DFO,0.0006,14,70,33
5240,MO,Trigen St. Louis,38.6359,-90.1809,NG,0.0557,38,18548,"5,735"
5241,MO,Unionville,40.459344,-93.021833,DFO,,53.2,,
5242,MO,Unionville City of,40.476742,-93.010018,DFO,0.0003,8.7,19,22
5243,MO,Vandalia,39.2036,-91.861,DFO,,9.3,,
5244,MO,Viaduct,37.257222,-89.564167,NG,,30.6,,
5245,MO,Walton Street Substation,37.7881,-90.4336,DFO,0.0001,6,5,7
5246,MO,Waynesville Solar Farm (MO),37.8041,-92.2535,SUN,0.0775,2.8,1901,0
5247,MO,Wentzville Assembly & Contiguous,38.82,-90.818056,NG,0,3,0,
5248,MS,Ackerman Combined Cycle,33.3792,-89.2089,NG,0.4668,850.5,3477951,"1,483,485"
5249,MS,Attala Generating Plant,33.0147,-89.6753,NG,0.6336,551.3,3059868,"1,259,115"
5250,MS,Batesville Generation Facility,34.3356,-89.9275,NG,0.417,"1,183.00",4321799,"1,952,441"
5251,MS,Baxter Wilson,32.2831,-90.9306,NG,0.053,"1,327.60",616233,"429,116"
5252,MS,Benndale,30.8889,-88.8054,NG,0,16.2,0,
5253,MS,Caledonia,33.6464,-88.2717,NG,0.6803,801,4773396,"2,045,356"
5254,MS,CF Industries Yazoo City Complex,32.90411,-90.3781,NG,0.6885,25,150787,"50,172"
5255,MS,Chevron Cogenerating Station,30.34,-88.4919,NG,0.7044,170.5,1052095,"360,001"
5256,MS,Choctaw County Gen,33.2881,-89.4201,NG,0.4158,899,3274867,"1,395,048"
5257,MS,Columbus MS,33.3602,-88.46,BLQ,0.4746,128.6,534682,"9,819"
5258,MS,Crossroads Energy Center (CPU),34.183,-90.5621,NG,0.0086,306.4,23137,"17,364"
5259,MS,Daniel Electric Generating Plant,30.5322,-88.5553,NG,0.4869,"2,229.00",9506568,"5,758,787"
5260,MS,David M Ratcliffe,32.654722,-88.762222,OG,0.5126,840,3772048,"2,146,475"
5261,MS,Delta (MS),33.7947,-90.7139,NG,,225,,
5262,MS,District 70 Transco Gas Pipe Line,31.24793,-90.19914,WH,,1.6,,
5263,MS,Eaton,31.3294,-89.2681,NG,,77.7,,
5264,MS,Ergon Refining Vicksburg,32.388271,-90.908344,NG,0.9121,4.8,38350,"11,762"
5265,MS,Georgia-Pacific Monticello Paper,31.6285,-90.0809,NG,0.9057,64.8,514109,"49,077"
5266,MS,Gerald Andrus,33.35,-91.1167,NG,0.0916,781.4,627249,"440,115"
5267,MS,Grand Gulf,32.0081,-91.0478,NUC,0.4675,"1,440.00",5897272,0
5268,MS,Gulfport Naval Base CSG PV System,30.379866,-89.119233,SUN,,3.5,,
5269,MS,Hattiesburg Solar Farm,31.275828,-89.301156,SUN,,50,,
5270,MS,Henderson,33.517315,-90.209661,NG,0.0167,59,8632,"6,691"
