eGRID2016 Plant file sequence number,Plant state abbreviation,Plant name,Plant latitude,Plant longitude,Plant primary fuel,Plant capacity factor,Plant nameplate capacity (MW),Plant annual net generation (MWh),Plant annual CO2 equivalent emissions (tons)
SEQPLT16,PSTATABB,PNAME,LAT,LON,PLPRMFL,CAPFAC,NAMEPCAP,PLNGENAN,PLCO2EQA
1528,CA,Rosamond One,34.9,-118.246944,SUN,0.338,20,59218,0
1529,CA,Rosamond Two,34.900278,-118.238333,SUN,0.2861,20,50132,0
1530,CA,Roseburg Forest Products Biomass,41.435556,-122.376944,WDS,0.5624,13.4,66013,793
1531,CA,Roseville,38.810677,-121.323807,NG,0.0021,54.8,1003,942
1532,CA,Roseville Energy Park,38.7928,-121.3811,NG,0.2711,164,389502,"182,708"
1533,CA,RPI Fuel Cell LLC,34.028611,-117.601388,NG,0.1459,3,3834,
1534,CA,"Rudy Solar, LLC",34.766389,-117.323611,SUN,0.3391,1.5,4456,0
1535,CA,Rugged Solar LLC,32.686111,-116.28056,SUN,,80,,
1536,CA,Rush Creek,37.766954,-119.123284,WAT,0.4005,13.1,45954,0
1537,CA,Russell City Energy Company LLC,37.63466,-122.13381,NG,0.1372,655,786946,"342,156"
1538,CA,Rutan,34.643889,-118.163056,SUN,0.12,4,4204,0
1539,CA,Sacramento (SMUD),38.587222,-121.457778,SUN,0.1662,1.5,2184,0
1540,CA,Sacramento Fairbain Water Treatment Plan,38.643611,-121.416389,SUN,0.1494,1,1309,0
1541,CA,Sacramento Power Authority Cogen,38.511,-121.4735,NG,0.553,173.9,842369,"413,437"
1542,CA,Sacramento Regional County Sanitation PV,38.448604,-121.46369,SUN,,3.5,,
1543,CA,Sacramento Soleil LLC,38.44979,-121.16469,SUN,0.1921,1,1683,0
1544,CA,Saint Agnes Medical Center,36.8347,-119.7667,NG,0.4011,7.7,27057,"8,162"
1545,CA,Saint Johns Health Center,34.030318,-118.47844,NG,0.0012,1.2,13,5
1546,CA,Salinas River Cogeneration Facility,35.9515,-120.8679,NG,0.8679,38.9,295739,"115,160"
1547,CA,Salt Springs,38.497914,-120.21811,WAT,0.4754,42,174893,0
1548,CA,Salton Sea Power Gen Co - Unit 2,33.1589,-115.6455,GEO,0.5152,20,90269,"7,327"
1549,CA,Salton Sea Power Gen Co - Unit 3,33.158153,-115.638656,GEO,0.6402,53.9,302287,"24,537"
1550,CA,Salton Sea Power Gen Co - Unit 4,33.157,-115.6386,GEO,0.6321,47.5,263020,"21,350"
1551,CA,Salton Sea Power Gen Co Unit 1,33.158,-115.6475,GEO,0.8099,10,70948,"5,759"
1552,CA,Salton Sea Power LLC - Unit 5,33.1533,-115.6384,GEO,0.644,58.3,328870,"26,695"
1553,CA,San Antonio Regional Hospital,34.1019,-117.6381,NG,0.5882,2.7,13911,"10,402"
1554,CA,San Antonio West Solar Rooftop,33.965617,-117.659059,SUN,0.2022,1.5,2657,0
1555,CA,San Diego State University,32.778225,-117.070114,NG,0.3674,17.6,56648,"21,137"
1556,CA,San Dimas,34.1275,-117.7958,WAT,0.4446,9.9,38554,0
1557,CA,San Dimas Wash Generating Station,34.124171,-117.805091,WAT,0.1707,1,1495,0
1558,CA,San Fernando,34.260527,-118.385531,WAT,0.0139,5.6,682,0
1559,CA,San Francisco Electric Reliability Proj,37.785556,-122.383611,NG,,151.5,,
1560,CA,San Francisco Intl Airport Ct Project,37.635833,-122.383888,NG,,48,,
1561,CA,San Francisquito 1,34.590183,-118.454676,WAT,0.1133,69.3,68807,0
1562,CA,San Francisquito 2,34.534337,-118.525113,WAT,0.003,42,1120,0
1563,CA,San Gabriel Hydro Project,34.204311,-117.855714,WAT,0.0195,5,855,0
1564,CA,San Gorgonio 1,34.030376,-116.857142,WAT,,1.5,,
1565,CA,San Gorgonio Farms Wind Farm,33.926111,-116.615,WND,0.3276,31,88967,0
1566,CA,San Gorgonio Westwinds II LLC,33.934,-116.5781,WND,0.2897,43.4,110141,0
1567,CA,San Gorgonio Windplant WPP1993,33.918395,-116.573906,WND,0.2553,84,187884,0
1568,CA,San Jacinto Solar,33.8346,-117.1309,SUN,,1.5,,
1569,CA,San Joaquin 2,37.203233,-119.497508,WAT,0.1382,2.8,3389,0
1570,CA,San Joaquin 3,37.253718,-119.519352,WAT,0.0137,4,480,0
1571,CA,San Joaquin Cogen,37.8062,-121.2771,NG,,46,,
1572,CA,San Joaquin Solar,36.527,-120.149,SUN,,21.5,,
1573,CA,San Jose Cogeneration,37.336113,-121.878332,NG,0.6602,6,34699,"14,976"
1574,CA,San Onofre Nuclear Generating Station,33.368794,-117.554916,NUC,,"2,254.00",,
1575,CA,Sand Bar Power Plant,38.1861,-120.15,WAT,0.6692,16.2,94963,0
1576,CA,Sand Drag LLC,35.982778,-120.110277,SUN,0.2413,19,40166,0
1577,CA,Santa Ana 1,34.14522,-117.058481,WAT,0.0313,3.2,876,0
1578,CA,Santa Ana 3,34.107245,-117.099091,WAT,0.0994,3.1,2699,0
1579,CA,Santa Clara (85C),37.7361,-121.6475,WND,0,18,0,
1580,CA,Santa Clara Cogen,37.364297,-121.944238,NG,0.665,7.8,45441,"40,306"
1581,CA,Santa Cruz Energy,36.973333,-122.105556,LFG,0.6528,1.6,9149,0
1582,CA,Santa Fe Springs Rooftop Solar BLDG H,33.910833,-118.044444,SUN,0.2085,1.5,2740,0
1583,CA,Santa Fe Springs Rooftop Solar BLDG M,33.910833,-118.044444,SUN,0.1979,1.8,3121,0
1584,CA,Santa Felicia Dam,34.461667,-118.7511,WAT,0,1.3,0,
1585,CA,Santa Maria Cogen Plant,34.94434,-120.45791,NG,,9,,
1586,CA,Santa Maria EPG,35.040833,-120.636667,OG,0.3329,5.5,16039,"17,762"
1587,CA,Santa Maria LFG Power Plant,34.9537,-120.4142,LFG,0.9368,1.1,9027,0
1588,CA,Santa Paula Energy Storage,34.346825,-119.055014,MWH,,5,,
1589,CA,Santa Rita Jail,37.719167,-121.886944,NG,0,6.7,0,
1590,CA,Santa Rita Jail Fuel Cell,37.719166,-121.886944,NG,0.0435,1.4,533,
1591,CA,Sargent Canyon Cogen Facility,35.9359,-120.8408,NG,0.8855,38.2,296315,"117,910"
1592,CA,"SC 1 Data Center, Phase 2",37.361667,-121.943611,DFO,0.0003,65.1,186,305
1593,CA,SCA Cogen II,38.530943,-121.400128,NG,0.4288,193.4,726503,"301,306"
1594,CA,Scattergood Generating Station,33.918151,-118.427648,NG,0.0943,"1,718.80",1419960,"1,011,534"
1595,CA,SCDA Solar 1,38.690186,-121.586514,SUN,,7,,
1596,CA,SCE-Snowline-Duncan Road (North),34.473889,-117.562778,SUN,0.3046,1.5,4003,0
1597,CA,SCE-Snowline-Duncan Road (South),34.471389,-117.562222,SUN,0.3035,1,2659,0
1598,CA,SCE-Snowline-White Rd (Central),34.415278,-117.47,SUN,0.3005,1.5,3948,0
1599,CA,SCE-Snowline-White Road (North),34.4175,-117.469722,SUN,0.308,1.5,4047,0
1600,CA,SCE-Snowline-White Road (South),34.413056,-117.470833,SUN,0.311,1.5,4086,0
1601,CA,Scotia Co-gen Humboldt Redwood Company LLC,40.4728,-124.1014,WDS,0.2711,32.5,77181,"4,319"
1602,CA,Scott Flat,39.272108,-120.932508,WAT,0.4465,1,3911,0
1603,CA,SCWA R5 Pond Solar,38.254417,-122.444153,SUN,,2,,
1604,CA,SDCCD - Miramar,32.906111,-117.121389,SUN,0.1415,1.1,1363,0
1605,CA,SDCWA - Twin Oaks,33.21,-117.170556,SUN,0.1966,1.1,1894,0
1606,CA,Second Imperial Geothermal,32.7144,-115.5356,GEO,0.2362,80,165507,0
1607,CA,SEGS III,35.00694,-117.555768,NG,0.1865,34.2,55882,"7,286"
1608,CA,SEGS IV,35.012166,-117.555672,NG,0.1847,34.2,55331,"6,638"
1609,CA,SEGS IX,35.033,-117.338,NG,0.196,92,157969,"11,738"
1610,CA,SEGS V,35.01948,-117.55553,NG,0.1864,34.2,55842,"6,578"
1611,CA,SEGS VI,35.020981,-117.566079,NG,0.1654,35,50700,"7,799"
1612,CA,SEGS VII,35.014836,-117.565903,NG,0.1367,35,41926,"9,244"
1613,CA,SEGS VIII,35.0308,-117.3563,NG,0.1939,92,156267,"12,695"
1614,CA,"Sentinel Energy Center, LLC",33.934167,-116.571388,NG,0.0641,800,449310,"269,143"
1615,CA,Sepulveda Canyon,34.0969,-118.4795,WAT,0.0579,8.5,4312,0
1616,CA,SEPV 1,34.618861,-117.939444,SUN,0.3042,2,5329,0
1617,CA,SEPV 18,34.613602,-117.93439,SUN,0.3626,2,6352,0
1618,CA,SEPV 2,34.174167,-116.152778,SUN,0.305,2,5344,0
1619,CA,SEPV 8,34.171944,-116.1525,SUN,0.315,12,33115,0
1620,CA,SEPV Imperial Dixieland East,32.792038,-115.773448,SUN,0.0051,2,89,0
1621,CA,SEPV Imperial Dixieland West,32.79411,-115.779317,SUN,0.004,3,104,0
1622,CA,SEPV Mojave West,35.022903,-118.282694,SUN,0.1235,20,21637,0
1623,CA,SEPV Palmdale East,34.613056,-117.938889,SUN,0.3125,10,27371,0
1624,CA,SEPV9 Power Plant,34.192222,-116.090278,SUN,0.3086,9,24330,0
1625,CA,Seville 1,33.1125,-116.0139,SUN,0.3744,20,65602,0
1626,CA,Seville 2,33.1101,-116.0059,SUN,0.3754,30,98659,0
1627,CA,SF Southeast Cogen Plant,37.739722,-122.3925,OBG,0.148,2.1,2723,2
1628,CA,SF State University,37.723889,-122.4775,NG,0.1076,1.6,1508,
1629,CA,Shafter Solar LLC,35.393333,-119.127778,SUN,0.2949,20,51662,0
1630,CA,Shasta,40.717455,-122.422274,WAT,0.2795,714,1748041,0
1631,CA,Shasta Renewable Resources Plant,40.470833,-122.331111,WDS,,5.5,,
1632,CA,Shasta Solar Farm,41.031389,-121.4225,SUN,0.2927,3,7692,0
1633,CA,Shiloh I Wind Project,38.12,-121.85,WND,0.2946,150,387131,0
1634,CA,Shiloh III Wind Project LLC,38.169444,-121.846944,WND,0.2899,102.5,260264,0
1635,CA,Shiloh IV Wind Project LLC,38.137488,-121.855342,WND,0.315,102.5,282860,0
1636,CA,Shiloh Wind Project 2 LLC,38.1711,-121.8461,WND,0.304,150,399427,0
1637,CA,Sierra Nevada Brewing Co,39.724167,-121.815278,NG,0.2115,5.2,9632,"2,818"
1638,CA,Sierra Pacific Anderson Facility,40.4731,-122.3206,WDS,0,4,0,
1639,CA,Sierra Pacific Burney Facility,40.8767,-121.7016,WDS,0.5196,20,91026,"1,095"
1640,CA,Sierra Pacific Lincoln Facility,38.9032,-121.3097,WDS,0.2887,32.2,81427,987
1641,CA,Sierra Pacific Loyalton Facility,39.6699,-120.2394,WDS,,20,,
1642,CA,Sierra Pacific Quincy Facility,39.941165,-120.909211,WDS,0.4601,27.5,110846,"1,355"
1643,CA,Sierra Pacific Sonora,37.966389,-120.317777,WDS,0.4329,7.5,28438,354
1644,CA,Sierra Solar Greenworks,34.703611,-118.334167,SUN,0.2553,20,44723,0
1645,CA,Sierra SunTower Solar Gen Station,34.7306,-118.135,SUN,,7.5,,
1646,CA,Signal Hill West Unit,33.811182,-118.175645,OG,0.7189,5.7,35894,"27,094"
1647,CA,Silicon Valley Clean Water,37.542619,-122.231119,OBG,0.5636,1.2,5924,0
1648,CA,Silver Gate,32.697222,-117.114722,DFO,,247,,
1649,CA,Siphon Drop Power Plant,32.7792,-114.6344,WAT,0.4473,4.4,17242,0
1650,CA,Site 980 65,37.056803,-119.899706,WAT,0.2081,2.1,3828,0
1651,CA,SJ/SC WPCP,37.4344,-121.9464,NG,0.1288,28.4,32039,"3,254"
1652,CA,Sky River LLC,35.2608,-118.2469,WND,0.2028,76.9,136626,0
1653,CA,Slate Creek,40.976859,-122.456251,WAT,0.2893,4.2,10643,0
1654,CA,Sly Creek,39.580413,-121.119479,WAT,0.3294,12.1,34916,0
1655,CA,SMUD at Fleshman,38.237778,-121.3375,SUN,0.2149,2.9,5458,0
1656,CA,SMUD at Grundman,38.364722,-121.41278,SUN,0.2159,17,32147,0
1657,CA,SMUD at Lawrence,38.338868,-121.431342,SUN,0.1759,1,1541,0
1658,CA,SMUD at Van Conett,38.253056,-121.278888,SUN,0.2159,2.9,5485,0
1659,CA,Sol Orchard El Centro PV,32.803333,-115.546389,SUN,0.2927,20,51276,0
1660,CA,Solano County Cogen Plant,38.2494,-122.0394,NG,0.4053,2.8,9942,"3,790"
1661,CA,Solano Wind,38.116415,-121.769031,WND,0.2813,228.2,562352,0
1662,CA,Solar Blythe 2,33.618678,-114.696182,SUN,,20,,
1663,CA,Solar Gen 2,33.08,-115.47,SUN,0.308,155.1,418430,0
1664,CA,Solar Photovoltaic Project #01,34.073206,-117.512842,SUN,,2,,
1665,CA,Solar Photovoltaic Project #02,33.985244,-117.700826,SUN,0.1026,1,899,0
1666,CA,Solar Photovoltaic Project #03,34.094279,-117.400113,SUN,0.1324,1,1160,0
1667,CA,Solar Photovoltaic Project #04,34.071111,-117.520277,SUN,,1.5,,
1668,CA,Solar Photovoltaic Project #05,34.086276,-117.230571,SUN,0.1811,2.5,3967,0
1669,CA,Solar Photovoltaic Project #06,34.041389,-117.573055,SUN,0.2233,2,3912,0
1670,CA,Solar Photovoltaic Project #07,34.086111,-117.2275,SUN,0.1824,2.5,3995,0
1671,CA,Solar Photovoltaic Project #08,34.041944,-117.565,SUN,0.1635,2.5,3580,0
1672,CA,Solar Photovoltaic Project #09,34.042778,-117.571666,SUN,0.1222,1.5,1605,0
1673,CA,Solar Photovoltaic Project #10,34.075,-117.516944,SUN,0.1366,2,2394,0
1674,CA,Solar Photovoltaic Project #11,34.075833,-117.241388,SUN,0.2038,3.5,6247,0
1675,CA,Solar Photovoltaic Project #12,34.042222,-117.561666,SUN,0,1,0,
1676,CA,Solar Photovoltaic Project #13,34.083499,-117.23557,SUN,0.2015,3.5,6178,0
1677,CA,Solar Photovoltaic Project #14,34.068333,-117.507222,SUN,,1.5,,
1678,CA,Solar Photovoltaic Project #15,34.079167,-117.516666,SUN,0.1391,3.5,4264,0
1679,CA,Solar Photovoltaic Project #16,34.085556,-117.233611,SUN,0.1814,1.5,2383,0
1680,CA,Solar Photovoltaic Project #17,34.072778,-117.503333,SUN,0.15,4,5257,0
1681,CA,Solar Photovoltaic Project #18,34.083333,-117.516388,SUN,0.1233,2,2160,0
1682,CA,Solar Photovoltaic Project #19,34.086944,-117.516944,SUN,,5,,
1683,CA,Solar Photovoltaic Project #20,34.089167,-117.203333,SUN,,3.5,,
1684,CA,Solar Photovoltaic Project #21,34.075278,-117.553611,SUN,,2.5,,
1685,CA,Solar Photovoltaic Project #22,34.08,-117.2114,SUN,0.1598,2,2800,0
1686,CA,Solar Photovoltaic Project #23,34.080833,-117.520277,SUN,0.1718,3,4516,0
1687,CA,Solar Photovoltaic Project #24,34.038333,-117.373055,SUN,,4,,
1688,CA,Solar Photovoltaic Project #25,34.130556,-117.421944,SUN,,4.5,,
1689,CA,Solar Photovoltaic Project #26,34.131214,-117.425324,SUN,0.1954,6,10271,0
1690,CA,Solar Photovoltaic Project #27,34.131111,-117.421666,SUN,0.1213,3,3188,0
1691,CA,Solar Photovoltaic Project #28,34.094167,-117.274166,SUN,0.1582,4,5543,0
1692,CA,Solar Photovoltaic Project #30,34.064722,-117.425833,SUN,,1.5,,
1693,CA,Solar Photovoltaic Project #31,34.086667,-117.565833,SUN,,1,,
1694,CA,Solar Photovoltaic Project #32,34.031667,-117.571944,SUN,0.1859,1.5,2443,0
1695,CA,Solar Photovoltaic Project #33,34.0325,-117.569166,SUN,0.172,1,1507,0
1696,CA,Solar Photovoltaic Project #40,34.855556,-116.866944,SUN,,10,,
1697,CA,Solar Photovoltaic Project #41,34.855556,-116.866944,SUN,,10,,
1698,CA,Solar Photovoltaic Project #42,36.028056,-119.074722,SUN,0.2005,5,8781,0
1699,CA,Solar Photovoltaic Project #44,33.839167,-117.220833,SUN,0.1754,8,12289,0
1700,CA,Solar Photovoltaic Project #45,33.8689,-116.5575,SUN,,6,,
1701,CA,Solar Photovoltaic Project #47,32.8333,-118.2306,SUN,,1,,
1702,CA,Solar Photovoltaic Project #48,34.081111,-117.228056,SUN,0.1588,5,6954,0
1703,CA,Solar Star 1,34.8181,-118.4036,SUN,0.2438,318,679158,0
1704,CA,Solar Star 2,34.848611,-118.352778,SUN,0.3142,279,767848,0
1705,CA,Solar Star California II LLC,38.516389,-121.47528,SUN,0.2218,2,3886,0
1706,CA,"Solar Star California, XLI, LLC",34.839012,-118.386843,SUN,0.0326,54,15428,0
1707,CA,"Solar Star California, XLIV, LLC",34.511889,-117.922819,SUN,0.011,9.5,913,0
1708,CA,Solverde 1,34.655694,-118.298166,SUN,0.0042,85,3104,0
1709,CA,Sonoma California Geothermal,38.7903,-122.7559,GEO,0.3549,78,242482,"29,131"
1710,CA,Sonoma Central Landfill Phase I,38.3017,-122.7489,LFG,0.5654,3.2,15849,0
1711,CA,Sonoma Central Landfill Phase II,38.3017,-122.7489,LFG,0.5515,3.2,15460,0
1712,CA,Sonoma Central Landfill Phase III,38.3017,-122.7489,LFG,,1.6,,
1713,CA,Sonoma County Fuel Cell,38.466666,-122.723436,NG,0.3802,1.4,4663,
1714,CA,Sonora 1,37.889753,-120.528723,SUN,0.2884,1.5,3790,0
1715,CA,Sonoran Energy Project,33.613336,-114.688683,NG,,553,,
1716,CA,South,40.395396,-121.879186,WAT,0.3474,6.7,20390,0
1717,CA,South Bay Fuel Cell Plant,32.543333,-117.067778,OBG,0.4232,1.5,5561,
1718,CA,South Belridge Cogeneration Facility,35.438611,-119.7075,NG,0.5198,94.2,428921,"145,747"
1719,CA,Southeast Kern River Cogen,35.4206,-118.9644,NG,0.5104,30.8,137714,"43,959"
1720,CA,Southeast Resource Recovery,33.759236,-118.239922,MSW,0.5127,35.6,159898,"107,116"
1721,CA,Southern Owens Valley Solar Ranch,36.797739,-118.083801,SUN,,200,,
1722,CA,Spadra Landfill Gas to Energy,34.0408,-117.8217,LFG,,10.6,,
1723,CA,Spaulding 1,39.324613,-120.644807,WAT,0.2733,7,16756,0
1724,CA,Spaulding 2,39.324592,-120.645375,WAT,0.0293,3.7,948,0
1725,CA,Spaulding 3,39.337679,-120.635467,WAT,0.3001,6.6,17352,0
1726,CA,SPI Anderson 2,40.472283,-122.324205,WDS,0.4574,30.2,121016,"1,477"
1727,CA,Spicer Meadow Project,38.3914,-120.0008,WAT,0.2219,5.9,11470,0
1728,CA,Spreckels Sugar Company,32.911111,-115.568056,NG,0.2485,8.9,19370,"6,320"
1729,CA,Spring Creek,40.628115,-122.467509,WAT,0.1229,180,193724,0
1730,CA,Spring Gap,38.18653,-120.11168,WAT,0.6625,6,34819,0
1731,CA,Springbok 3 Solar Farm,35.171153,-118.001652,SUN,,90,,
1732,CA,Springbok Solar Farm 1,35.249167,-117.955278,SUN,0.1366,105,125680,0
1733,CA,Springbok Solar Farm 2,35.250031,-117.976847,SUN,0.0583,155,79192,0
1734,CA,Springs Generating Station,33.9308,-117.2933,NG,0,40,1,5
1735,CA,Springville Hydroelectric,34.2253,-119.0858,WAT,0.1332,1,1167,0
1736,CA,SPVP #35,35.7436,-119.2236,SUN,,7,,
1737,CA,SPVP #46,35.743889,-119.229444,SUN,,3.5,,
1738,CA,SRI International Cogen Project,37.455314,-122.172797,NG,0.5807,6,30523,"10,665"
1739,CA,Stampede,39.470447,-120.10455,WAT,0.158,3.6,4982,0
1740,CA,Stanislaus,38.139048,-120.370325,WAT,0.5606,81.9,402166,0
1741,CA,Stanton Energy Reliability Center,33.806801,-117.985758,NG,,181.5,,
1742,CA,"Staples La Mirada, CA",33.881667,-118.0175,SUN,0.0918,1.1,885,0
1743,CA,Starbucks - Evolution Fresh,34.093684,-117.551044,NG,0.7283,1.1,7018,
1744,CA,Stateline Solar,35.6,-115.4,SUN,0.2088,299.5,547804,0
1745,CA,Stony Gorge,39.586864,-122.533248,WAT,0.1993,5,8729,0
1746,CA,Strata Roof 1,38.643527,-121.505506,SUN,0.1886,1,1652,0
1747,CA,Stroud Solar Station,36.531389,-120.106944,SUN,0.22,20,38539,0
1748,CA,Subregional Water Reclamation Facility,38.368889,-122.765833,OBG,0.2869,4.4,11057,583
1749,CA,Summer North Solar,34.723056,-118.289722,SUN,0.2905,6.5,16543,0
1750,CA,Summer Solar A2,34.723056,-118.289722,SUN,0.2855,1.5,3751,0
1751,CA,Summer Solar B2,34.723056,-118.289722,SUN,0.2907,1.5,3820,0
1752,CA,Summer Solar C2,34.723056,-118.289722,SUN,0.2923,1.5,3841,0
1753,CA,Summer Solar D2,34.723056,-118.289722,SUN,0.2658,1,2328,0
1754,CA,Summer Solar LLC,34.714703,-118.311006,SUN,0.1335,20,23385,0
1755,CA,Sun City Project LLC,35.983056,-120.110277,SUN,0.2394,20,41950,0
1756,CA,Sun Harvest Solar NDP1,37.05758,-120.653625,SUN,0.3009,1.5,3954,0
1757,CA,SunAnza,33.555267,-116.639647,SUN,,2,,
1758,CA,SunE- E Philadelphia Ontario,34.03527,-117.5341,SUN,0.198,1,1734,0
1759,CA,SunE Redlands,34.07427,-117.243629,SUN,,1.5,,
1760,CA,SunE Rochester,34.097728,-117.544529,SUN,,1,,
1761,CA,SunEdison Anheuser Busch Fairfield,38.232108,-122.092706,SUN,0.3016,1,2642,0
1762,CA,SunEdison Ironwood State Prison,33.567268,-114.917979,SUN,0.4249,1,3722,0
1763,CA,SunEdison Procter & Gamble Oxnard,34.2089,-119.13,SUN,0.2099,1,1839,0
1764,CA,SunEdison Walgreens Moreno Valley,33.8672,-117.23,SUN,0.1074,1,941,0
1765,CA,SunEdison Walmart Apple Valley DC,34.5975,-117.2,SUN,0.2737,1,2398,0
1766,CA,Sunnyvale City of WPCP,37.4194,-122.0153,LFG,0.7031,1.6,9855,"2,478"
1767,CA,Sunray 2,34.863356,-116.827627,SUN,,33.8,,
1768,CA,Sunray 3,34.863356,-116.827627,SUN,,43.8,,
1769,CA,Sunrise Power Company,35.2097,-119.585,NG,0.6634,605.4,3517950,"1,445,616"
1770,CA,Sunset Reservoir North Basin,37.750894,-122.481758,SUN,0.1745,4.5,6879,0
1771,CA,Sunshine Gas Producers,34.335678,-118.519188,LFG,0.6462,23,130194,0
1772,CA,Swanmill Windfarm I,33.942,-116.661,WND,,18.7,,
1773,CA,Sycamore Cogeneration,35.452577,-118.985313,NG,0.5184,300,1362440,"479,858"
1774,CA,Sycamore Energy 1,32.857709,-117.028847,LFG,0.3277,7.2,20668,0
1775,CA,"TA-Acacia, LLC",34.689167,-118.324722,SUN,0.354,20,62028,0
1776,CA,Taft 26C Cogen,35.1133,-119.4706,NG,0.7271,12.4,78978,"23,989"
1777,CA,TA-High Desert LLC,34.708889,-118.304722,SUN,0.3189,20,55872,0
1778,CA,Tahquitz High School,33.767222,-117.0175,SUN,0.1953,1,1711,0
1779,CA,Tajiguas Plant,34.4383,-119.9397,LFG,0.9448,3,24829,0
1780,CA,Taylor Farms,36.505,-121.451667,WND,0.4442,1,3891,0
1781,CA,Taylor Farms Salinas,36.6575,-121.623333,NG,0.7171,1.1,6910,
1782,CA,Tehachapi Energy Storage Project,35.123333,-118.38,MWH,0,8,0,
1783,CA,Tehachapi Spindle,35.046111,-118.194722,MWH,,20,,
1784,CA,Tehachapi Wind Resource I,35.060556,-118.389722,WND,0.1872,9.3,15248,0
1785,CA,Tehachapi Wind Resource II,35.1061,-118.3114,WND,0.1495,37.4,48993,0
1786,CA,Teichert Materials-Teichert Vernalis,37.6167,-121.3564,WND,0.119,1.5,1563,0
1787,CA,Telephone Flat,41.5633,-121.5708,GEO,,49.9,,
1788,CA,Temescal,33.8343,-117.4971,WAT,0.6408,2.9,16278,0
1789,CA,"Temescal Canyon RV, LLC",33.826389,-117.511667,SUN,0.1911,1.5,2511,0
1790,CA,Tequesquite Landfill Solar PV Project,33.97819,-117.38514,SUN,0.2403,7.3,15367,0
1791,CA,Terminus Hydroelectric Project,36.4156,-119.0069,WAT,0.1696,20.1,29869,0
1792,CA,Terra Francesco,34.039722,-117.606667,SUN,0.2375,1.5,3121,0
1793,CA,Terra-Gen 251 Wind LLC,35.0853,-118.3547,WND,0.1417,18.4,22832,0
1794,CA,Terra-Gen VG Wind LLC,35.1161,-118.3789,WND,0.2055,7.4,13321,0
1795,CA,TESLA Power Project,37.725,-121.566666,NG,,"1,322.00",,
1796,CA,Tesoro Wilmington Calciner,33.77697,-118.22821,WH,0.6952,34,207055,0
1797,CA,Thermal Energy Development Part LP,37.719939,-121.48867,AB,0,23,0,0
1798,CA,Thermalito,39.514893,-121.630077,WAT,,115.1,,
1799,CA,Thermalito Diverson Dam,39.528749,-121.546359,WAT,0.6823,3.4,20321,0
1800,CA,Thomas M Knott Cogen Facility,35.184444,-120.618333,NG,,1.4,,
1801,CA,Three Forks Water Power Project,40.199822,-123.523145,WAT,0.6763,1.3,7702,0
1802,CA,THUMS,33.7684,-118.2141,NG,0.7542,57.4,379218,"226,960"
1803,CA,Tierra Bonita Solar,34.579434,-118.116461,SUN,,22,,
1804,CA,Tierra Del Sol Solar Farm LLC,32.633056,-116.33528,SUN,,45,,
1805,CA,Tiger Creek,38.449291,-120.492645,WAT,0.5891,52.2,269377,0
1806,CA,Toadtown,39.893491,-121.59338,WAT,0.204,1.8,3216,0
1807,CA,Top Gun Energy Storage,32.876198,-117.167791,MWH,,10,,
1808,CA,Topaz Solar Farm,35.405556,-120.068611,SUN,0.2466,585.9,1265760,0
1809,CA,"Torrance Refining Company, LLC",33.85336,-118.33,WH,0.1568,49.3,67731,"8,963"
1810,CA,Total Energy Facilities,33.7683,-118.2836,OBG,0.3019,58.2,153901,"1,021"
1811,CA,Toyon Power Station,34.146253,-118.30485,LFG,0,9,0,
1812,CA,TPC Windfarms LLC,35.05,-118.2572,WND,0.2344,28.7,58940,0
1813,CA,Tracy Combined Cycle Power Plant,37.7107,-121.4906,NG,0.1109,336.1,326418,"154,791"
1814,CA,Transamerica Pyramid,37.795556,-122.402778,NG,0.3638,1,3187,"1,058"
1815,CA,Tres Vaqueros Wind Farms LLC,37.771944,-121.74,WND,,28.3,,
1816,CA,Trinity,40.797296,-122.762553,WAT,0.2265,140,277804,0
1817,CA,Tropico Solar PV Plant,35.831944,-119.056111,SUN,0.0642,14,7872,0
1818,CA,Tulare 1 and 2,36.2,-119.42,SUN,0.2239,3,5885,0
1819,CA,Tulare Success Power Project,36.058635,-118.924097,WAT,0.0502,1.4,615,0
1820,CA,Tule River,36.163076,-118.707104,WAT,0.2025,8.4,14898,0
1821,CA,Tule Wind LLC,32.663889,-116.289722,WND,,131.1,,
1822,CA,Tulloch,37.876111,-120.605,WAT,0.4036,24.2,85555,0
1823,CA,Turlock Irrigation District Fuel Cell,37.4833,-120.8675,OBG,,1.2,,
1824,CA,Turlock Lake,37.611461,-120.594678,WAT,0.0006,3.3,18,0
1825,CA,UC Davis South Campus,38.55,-121.75,SUN,0.2604,13,29651,0
1826,CA,UCI Facilities Management Central Plant,33.6481,-117.8467,NG,0.6484,19,107915,"34,912"
1827,CA,UCI Fuel Cell,33.788,-117.8901,NG,0.8982,1.4,11015,
1828,CA,UCLA So Campus Cogen Project,34.0692,-118.4439,NG,0.6649,43,250470,"75,070"
1829,CA,UCSD Fuel Cell Plant,32.877222,-117.234722,OBG,0.5765,3,15150,
1830,CA,Union Valley,38.86429,-120.444335,WAT,0.3246,38.6,109772,0
1831,CA,Univ of Calif Santa Cruz Cogeneration,36.9997,-122.0622,NG,0.371,7.2,23399,"8,082"
1832,CA,Univ of California San Diego Solar,32.874379,-117.238927,SUN,0.2263,1.2,2379,0
1833,CA,Univ of San Francisco Cogen,37.77656,-122.451878,NG,0.4327,1.5,5686,"2,216"
